name,espn_player_id
Anthony Tolliver,3276
P.J. Tucker,3033
Jarred Vanderbilt,4278077
Noah Vonleh,3078284
Dean Wade,3912848
PJ Washington,4278078
Grant Williams,4066218
Johnathan Williams,3064528
Marvin Williams,2797
D.J. Wilson,3136491
Christian Wood,3058254
Kenny Wooten,4278509
Thaddeus Young,3244
Steven Adams,2991235
Jarrett Allen,4066328
Deandre Ayton,4278129
Mo Bamba,4277919
Aron Baynes,2968439
Goga Bitadze,4348700
Bismack Biyombo,6427
Bol Bol,4397102
Tony Bradley,4065673
Moses Brown,4397126
Thomas Bryant,3934723
Devontae Cacok,3946974
Clint Capela,3102529
Wendell Carter Jr.,4277847
Willie Cauley-Stein,2991282
Tyson Chandler,984
Marquese Chriss,3907487
Ed Davis,4259
Dewayne Dedmon,2580913
Gorgui Dieng,2534781
Andre Drummond,6585
Joel Embiid,3059318
Tacko Fall,3904625
Derrick Favors,4257
Bruno Fernando,4277952
Marc Gasol,3206
Taj Gibson,3986
Harry Giles III,4065649
Rudy Gobert,3032976
Jaxson Hayes,4397077
Dewan Hernandez,4065672
Willy Hernangomez,2999409
Richaun Holmes,2993370
Dwight Howard,2384
Serge Ibaka,3439
Nikola Jokic,3112335
Damian Jones,3064559
DeAndre Jordan,3442
Frank Kaminsky,2579294
Enes Kanter,6447
Luke Kornet,3064560
Alex Len,2596107
Meyers Leonard,6605
Brook Lopez,3448
Robin Lopez,3447
Trey Lyles,3136196
Ian Mahinmi,2774
Thon Maker,4017843
Boban Marjanovic,4376
JaVale McGee,3452
Joakim Noah,3224
Nerlens Noel,2991280
Jusuf Nurkic,3102530
Kyle O'Quinn,6615
Jahlil Okafor,3135048
Anzejs Pasecniks,3893059
Justin Patton,3912332
Jakob Poeltl,3134908
Vincent Poirier,4237215
Dwight Powell,2531367
Naz Reid,4396971
Mitchell Robinson,4351852
Daniel Theis,2451037
Tristan Thompson,6474
Karl-Anthony Towns,3136195
Myles Turner,3133628
Jonas Valanciunas,6477
Nikola Vucevic,6478
Hassan Whiteside,4262
Robert Williams III,4066211
Cody Zeller,2579258
Tyler Zeller,6631
Ante Zizic,4017838
Ivica Zubac,4017837
